delivery,traced_mib
10,0.016
20,0.017
30,0.018
40,0.019
50,0.02
60,0.02
70,0.02
80,0.02
90,0.02
100,0.02
110,0.02
120,0.02
130,0.02
140,0.02
150,0.02
